"       MASTER SPREADSHEET                        Fourteen Select Indexes - Daily Closing Values    January 1986 - July 26, 2019",,,,,,,,,,,,,,
"Sources: Bloomberg and Cboe Exchange, Inc.",Data providers such as Bloomberg (phone: 212-318-2000) can provide historical data for a fee.      Also visit www.Cboe.com/TradTool/,Past performance is not a guarantee of future returns.,"Supporting documentation for statistics or other technical data is available by calling 1-888-OPTIONS, sending an e-mail to help@Cboe.com, or by visiting www.Cboe.com. ","Options involve risk and are not suitable for all investors. Prior to buying or selling an option, a person must receive a copy of Characteristics and Risks of Standardized Options",,Please visit www.Cboe.com and us.spindices.com  for more information and disclosures.  ,"This spreadsheet is updated about once a year, and is based on data from secondary sources believed (but not guaranteed) to be accurate.",Indexes are not investable,,,,,,
,www.Cboe.com/BXM,,www.Cboe.com/SPX,www.Cboe.com/PUT,www.Cboe.com/CLL,www.Cboe.com/BXY,www.Cboe.com/VIX,www.Cboe.com/VXO,www.Cboe.com/BXMD ,www.Cboe.com/BFLY ,www.Cboe.com/CLLZ ,www.Cboe.com/CMBO ,www.Cboe.com/CNDR ,www.Cboe.com/PPUT 
,Cboe S&P 500 BuyWrite Index,S&P 500®  Total Return,S&P 500® ,Cboe S&P 500 PutWrite Index,Cboe S&P 500 95-110 Collar Index,Cboe S&P 500 2% OTM BuyWrite Index,Cboe Volatility Index® ,Cboe S&P 100 Volatility Index,Cboe S&P 500 30-Delta BuyWrite Index ,Cboe S&P 500 Iron Butterfly Index ,Cboe S&P 500 Zero-Cost Put Spread Collar ,Cboe S&P 500 Covered Combo Index ,Cboe S&P 500 Iron Condor Index ,Cboe S&P 500 5% Put Protection Index 
,BXMSM,SPTR,SPXSM,PUTSM,CLL*,BXYSM,VIX® ,VXOSM,BXMDSM ,BFLYSM ,CLLZSM ,CMBOSM ,CNDRSM ,PPUTSM 
30-Jun-86,92.21,,250.84,89.91,100,,,18.31,100,100,100,100,100,100
01-Jul-86,92.57,,252.04,90.06,100.48,,,17.85,100.47,100.01,100.43,100.32,100.15,100.46
02-Jul-86,92.61,(scroll down),252.7,90.21,100.62,(scroll down),(scroll down),17.4,100.64,99.83,100.58,100.49,100.22,100.72
03-Jul-86,92.82,,251.79,90.16,100.49,,,17.56,100.65,100.83,100.56,100.47,100.24,100.37
07-Jul-86,90.99,,244.05,88.88,98.26,,,18.87,98.02,100.24,98.39,98.43,99.55,97.45
08-Jul-86,90.17,,241.59,88.38,97.61,,,19.27,97.06,99.48,97.58,97.68,99.13,96.63
09-Jul-86,90.62,,242.82,88.82,97.96,,,19.36,97.57,100.19,97.99,98.18,99.82,96.96
