,created_at,user_id,text,is_quoted,quoted_id,compound_sentiment
1237603152490147850,Wed Mar 11 04:55:59 +0000 2020,25073877,"Pocahontas, working in conjunction with the Democrat Party, totally destroyed the campaign of Bernie Sanders. If she would have quit 3 days earlier, Sanders would have beaten Biden in a route, it wouldn’t even have been close. They also got two other losers to support Sleepy Joe!",False,,-0.6793
1237604213980401666,Wed Mar 11 05:00:12 +0000 2020,3108351,"What should you consider before postponing or canceling travel plans? Beyond some clear no-go spots, it’s really a question of how much worry and hassle you want to pack into your trip. https://t.co/t44N1iDe9m",False,,-0.128
1237604273359220737,Wed Mar 11 05:00:27 +0000 2020,34713362,"Postponing the Olympics due to coronavirus is ""inconceivable,"" says Japanese minister https://t.co/jE91mc9HRF",False,,-0.128
1237604758908571656,Wed Mar 11 05:02:22 +0000 2020,1469603575,https://t.co/qBWarInHOM,False,,0.0
1237605429460393984,Wed Mar 11 05:05:02 +0000 2020,34713362,South Africa wants to dismantle big four auditors after scandals https://t.co/22ChCfs8fH,False,,-0.4939
1237605584867749890,Wed Mar 11 05:05:39 +0000 2020,2803822165,"Does Hopkins get grant money from some Chinese affiliate?

Are there grad students from China helming this app?

Are there any reporters at the Hopkins student paper that want to hone their journalism chops?",True,1.237511921798021e+18,0.5171
1237605682980859904,Wed Mar 11 05:06:03 +0000 2020,34713362,Britain set to unveil crisis-fighting budget: decision day guide https://t.co/rJomXqI4R5,False,,0.0
1237607710293557249,Wed Mar 11 05:14:06 +0000 2020,34713362,"As stocks gyrate, investors scoop up tons and tons of gold https://t.co/DggWzzhrsk https://t.co/MThCTXizQp",False,,0.1531
1237607711589584897,Wed Mar 11 05:14:06 +0000 2020,34713362,Australia will open as many as 100 pop-up respiratory clinics to combat coronavirus https://t.co/B0rC7cE0Q1,False,,-0.34
1237608705178226689,Wed Mar 11 05:18:03 +0000 2020,34713362,Singapore tourism may be worse hit than expected by coronavirus https://t.co/ugsTphI132,False,,-0.4767
1237609230506446854,Wed Mar 11 05:20:08 +0000 2020,34713362,Yen’s march to 100 seen unstoppable amid rising volatility https://t.co/qFQpWfSbbE https://t.co/z0BGYfxKJP,False,,-0.2023
1237609455631470592,Wed Mar 11 05:21:02 +0000 2020,34713362,Trump said he doesn't need to be tested for coronavirus https://t.co/9dqQ5sHNNT,False,,0.0
1237609457850306560,Wed Mar 11 05:21:03 +0000 2020,34713362,Google tells all North American employees to work from home https://t.co/pfFhWlIDod,False,,0.0
1237609963201036290,Wed Mar 11 05:23:03 +0000 2020,34713362,"""The most famous ship that didn't sink"" to get second life as a hotel, or an Airbnb https://t.co/Vjz2jqI0Vt",False,,0.0
1237610223130406912,Wed Mar 11 05:24:05 +0000 2020,34713362,"Bored with Ferrari? Consider this Italian-American vintage hybrid, a unicorn among cars https://t.co/q6H0x60cFe",False,,-0.2732
1237610474914451461,Wed Mar 11 05:25:05 +0000 2020,34713362,British businesses imperilled by the coronavirus look to the first budget by Boris Johnson's government for help https://t.co/thLxRNXXUv,False,,0.4019
1237610474847342592,Wed Mar 11 05:25:05 +0000 2020,34713362,"When the coronavirus brought China’s car parts industry to a standstill, this French carmaker went into crisis mode https://t.co/HxjjM94wYN via @BW",False,,-0.6249
1237611231759847424,Wed Mar 11 05:28:06 +0000 2020,34713362,Beef is a luxury consumers are willing to forgo during the chaos created by the coronavirus outbreak https://t.co/NIL0bC0zWj https://t.co/MZ0snMzwvf,False,,-0.4019
1237611484542164996,Wed Mar 11 05:29:06 +0000 2020,34713362,Emergency rate cuts loom for these Asian economies https://t.co/vZNLiqKWsy,False,,-0.6908
1237611744605814784,Wed Mar 11 05:30:08 +0000 2020,3108351,Joe Biden’s victory in Michigan bolsters his argument that he’s the party’s best option to confront President Trump in the Rust Belt states https://t.co/O9ldApUEC8,False,,0.25
1237612352788295682,Wed Mar 11 05:32:33 +0000 2020,34713362,"#Coronavirus updates:
-Tokyo Olympics postponement is ""inconceivable,"" says Japan minister
-Cathay Pacific expects ""substantial"" loss in the first half of 2020
-E3 video-game conference, slated for June in L.A., is being canceled
https://t.co/GJB0uLqlQF",False,,-0.3182
1237612361353007104,Wed Mar 11 05:32:35 +0000 2020,25073877,THANK YOU IDAHO! #KAG2020 https://t.co/aNhwiYsx96,False,,0.5461
1237612729088618496,Wed Mar 11 05:34:03 +0000 2020,34713362,Keep calm and wash your hands: Britain's strategy to beat the coronavirus https://t.co/6ADEehwOSA,False,,0.3182
1237612729252249600,Wed Mar 11 05:34:03 +0000 2020,34713362,Joe Biden has opened an all-but-insurmountable lead over Bernie Sanders in the race for the Democratic presidential nomination https://t.co/lFF9b2n7Pi,False,,0.0
1237613504225357826,Wed Mar 11 05:37:07 +0000 2020,34713362,Africa and its struggling health-care systems are bracing for the coronavirus https://t.co/PQ8o2ilu8r via @BW,False,,-0.4215
1237615277355012096,Wed Mar 11 05:44:10 +0000 2020,34713362,BREAKING: S&amp;P 500 futures fall almost 3% while Australia sinks into a bear market https://t.co/Nnb3i4sXXp https://t.co/5PbOJFQbhe,False,,0.0
1237616271061143555,Wed Mar 11 05:48:07 +0000 2020,34713362,Investors brace for crucial week for India’s financial sector https://t.co/XD7O2WSwzQ,False,,0.0
1237616519179370496,Wed Mar 11 05:49:06 +0000 2020,34713362,The auto industry took a step nearer to curbing its dependence on palladium https://t.co/2QFGX42QCU,False,,0.0
1237618261241597952,Wed Mar 11 05:56:01 +0000 2020,34713362,Walmart started an emergency leave policy after an associate tested positive for the coronavirus https://t.co/zV5Xuc9q1q,False,,0.2023
1237618261300314112,Wed Mar 11 05:56:01 +0000 2020,34713362,Airbnb is making adjustments to its refund policy in an attempt to balance the needs of hosts and guests during the global coronavirus outbreak https://t.co/XyB40KSjKz,False,,0.0
1237619027507318784,Wed Mar 11 05:59:04 +0000 2020,34713362,America’s status as the world’s No. 1 oil producer is in danger https://t.co/3kDfNZpecM https://t.co/Nv2m5fVCQO,False,,-0.6808
1237619279593377792,Wed Mar 11 06:00:04 +0000 2020,3108351,"Bank of Jinzhou plans to raise $1.7 billion by selling shares to two state-backed buyers, including a subsidiary of one of China’s biggest “bad banks” https://t.co/a4fXd92LL0",False,,0.296
1237619781408358401,Wed Mar 11 06:02:04 +0000 2020,34713362,Boutique economy slammed by virus as personal touch turns toxic https://t.co/9hwQg9HB6M,False,,0.0
1237620039454507010,Wed Mar 11 06:03:05 +0000 2020,34713362,Deal disruption spreads with the market rout crimping mega-IPOs and lending https://t.co/er6Os2U3Nl,False,,-0.3612
1237620293503463424,Wed Mar 11 06:04:06 +0000 2020,34713362,Indian stocks volatile as investors weigh cheaper oil amid risks https://t.co/EsolhWz8ew,False,,-0.2732
1237621041041674240,Wed Mar 11 06:07:04 +0000 2020,34713362,Putin isn't as immune to the oil crash as he's letting on https://t.co/qHalqsNxyg,False,,-0.5556
1237621088592580609,Wed Mar 11 06:07:16 +0000 2020,34713362,China kickstarted a massive work-from-home experiment during the coronavirus outbreak. Now the rest of the world is following suit https://t.co/nayNgL1aNd https://t.co/XKNMKvDNe0,False,,0.0
1237623303587663872,Wed Mar 11 06:16:04 +0000 2020,34713362,Australian stocks slide into a bear market with 3.6% drop https://t.co/E3iOd99WQJ https://t.co/JwCvkzZdfC,False,,-0.2732
1237623305781284866,Wed Mar 11 06:16:04 +0000 2020,34713362,Virus hits Hong Kong business sentiment even harder than protests https://t.co/rRPJqRYvDx https://t.co/jUSuGVVsE8,False,,-0.2263
1237623550812585985,Wed Mar 11 06:17:03 +0000 2020,34713362,The European Union plans to help airlines by bending a rule on airport slots for the first time in more than a decade https://t.co/GGcMZdF447,False,,0.4019
1237623722665598976,Wed Mar 11 06:17:44 +0000 2020,33747430,Everyone — myself included — tweeting about how great companies are often started in tough times should also be telling the other part of the story.,False,,0.5574
1237624802879451146,Wed Mar 11 06:22:01 +0000 2020,34713362,Robinhood maxed out its credit line around the same time its customers were experiencing outages https://t.co/Zf9EpltLIO,False,,0.3818
1237625065786785792,Wed Mar 11 06:23:04 +0000 2020,34713362,College towns are likely to be hit hard as nearby campuses clear out and students stay away over coronavirus concerns https://t.co/69SuBQzC23,False,,0.296
1237625319571558401,Wed Mar 11 06:24:04 +0000 2020,34713362,Europe isn’t ready to work from home — and that’s bad news for the economy https://t.co/yF5NcWCERF,False,,-0.25
1237626318088536064,Wed Mar 11 06:28:02 +0000 2020,34713362,“People are really not equipped psychologically to process this type of thing” https://t.co/pGfMPoB5d9,False,,0.0
1237626843152494594,Wed Mar 11 06:30:08 +0000 2020,3108351,"Harry Styles, Pharrell Williams and A$AP Rocky are just a few of the trend-setting gentlemen wearing pearl necklaces https://t.co/4rNHhZaZDw",False,,0.0
1237628849212411904,Wed Mar 11 06:38:06 +0000 2020,34713362,"JPMorgan says ""work from home"" risks are disrupting trading conditions for one of the world’s most important assets: U.S. Treasuries https://t.co/8ugOUjk0Kr",False,,0.4351
